Species	Year	Granary	Dist
lobata	2002	48	25.2
lobata	2002	48	1837.5
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	0
lobata	2002	107	13.1
lobata	2002	107	13.1
lobata	2002	163	0
lobata	2002	163	0
lobata	2002	163	0
lobata	2002	163	0
lobata	2002	163	0
lobata	2002	163	13.3
lobata	2002	163	78.1
lobata	2002	163	78.1
lobata	2002	532	0
lobata	2002	532	0
lobata	2002	532	0
lobata	2002	532	22.8
lobata	2002	532	22.8
lobata	2002	532	22.8
lobata	2002	532	22.8
lobata	2002	532	22.8
lobata	2002	532	22.8
lobata	2002	532	22.8
lobata	2002	532	458.2
lobata	2002	912	61.8
lobata	2002	912	66.1
lobata	2002	912	66.1
lobata	2002	912	66.1
lobata	2002	912	66.1
lobata	2002	912	66.1
lobata	2002	912	66.1
lobata	2002	912	79.5
lobata	2002	912	79.5
lobata	2002	912	79.5
lobata	2002	912	97.8
lobata	2002	912	141.9
lobata	2002	912	146.5
lobata	2002	912	180.8
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	9	52
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	10	50.7
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	0
lobata	2004	33	176.3
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	39	109.5
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	48	0
lobata	2004	107	0
lobata	2004	107	0
lobata	2004	107	0
lobata	2004	107	0
lobata	2004	107	0
lobata	2004	107	0
lobata	2004	107	0
lobata	2004	163	0
lobata	2004	163	0
lobata	2004	163	0
lobata	2004	163	0
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	163	154.6
lobata	2004	532	22.8
lobata	2004	532	22.8
lobata	2004	532	150.8
lobata	2004	532	150.8
lobata	2004	532	150.8
lobata	2004	532	150.8
lobata	2004	532	357.9
lobata	2004	532	357.9
lobata	2004	532	357.9
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
lobata	2004	912	79.5
